# 形式: name|id|competitor|owner/repo|official_url|category|description_ja
# ノート・ドキュメント / メモ（Evernote・Obsidian・Notion系）
Spacebar|spacebar|Discord|spacebarchat/server|https://spacebar.chat|communication|Discord互換APIを実装したチャットサーバ。既存クライアントが使える。
Nextcloud Talk|nextcloud-talk|Microsoft Teams|nextcloud/spreed|https://nextcloud.com/talk|communication|Nextcloud上のビデオ会議とチャット。既存のNextcloudに追加できる。
Zammad|zammad|Zendesk|zammad/zammad|https://zammad.com|support|問い合わせをメール・チャット・電話から一元管理する。権限設定が細かい。
# メール
mailcow|mailcow|Gmail|mailcow/mailcow-dockerized|https://mailcow.email|email|メールサーバ一式をDockerで構築する。管理画面とスパム対策が付属する。
Mailu|mailu|Gmail|Mailu/Mailu|https://mailu.io|email|メールサーバ一式をコンテナで提供。比較的少ない手順で運用に入れる。
Docker Mailserver|docker-mailserver|Gmail|docker-mailserver/docker-mailserver|https://docker-mailserver.github.io/docker-mailserver/|email|PostfixとDovecotをまとめたメールサーバ。設定ファイルとコマンドで管理する。
Stalwart|stalwart|Gmail|stalwartlabs/stalwart|https://stalw.art|email|Rust製のメールサーバ。IMAP・JMAP・SMTPを1つのバイナリで提供する。
Roundcube|roundcube|Gmail|roundcube/roundcubemail|https://roundcube.net|email|ブラウザで使うメールクライアント。既存のメールサーバに後付けできる。
Mailspring|mailspring|Gmail|Foundry376/Mailspring|https://getmailspring.com|email|デスクトップのメールクライアント。複数アカウントを1つにまとめられる。
Mailpit|mailpit|Mailtrap|axllent/mailpit|https://mailpit.axllent.org|email|開発中のメールを捕まえて確認するツール。送信内容をブラウザで見られる。
MailHog|mailhog|Mailtrap|mailhog/MailHog|https://github.com/mailhog/MailHog|email|テスト用のSMTPサーバ。送信したメールをブラウザで確認できる。
Postal|postal|SendGrid|postalserver/postal|https://docs.postalserver.io|email|自前で運用するメール配信基盤。送信数の課金を気にせず配信できる。
Mailtrain|mailtrain|Mailchimp|Mailtrain-org/mailtrain|https://mailtrain.org|email|セルフホストの一斉配信ツール。購読者リストとテンプレートを管理する。
# プロジェクト管理・タスク
OpenProject|openproject|Jira|opf/openproject|https://www.openproject.org|project|ガントチャートと課題管理を備えたプロジェクト管理。進捗の可視化が強い。
Wekan|wekan|Trello|wekan/wekan|https://wekan.github.io|project|カンバン方式のタスク管理。日本語表示に対応し、Meteor製。
Planka|planka|Trello|plankanban/planka|https://planka.app|project|Trelloに近い操作感のカンバン。複数人の操作がリアルタイムで反映される。
Kanboard|kanboard|Trello|kanboard/kanboard|https://kanboard.org|project|軽量なカンバン。PHPだけで動くため、小さなサーバでも扱える。
Leantime|leantime|Basecamp|Leantime/leantime|https://leantime.io|project|戦略から実行までを1つにするプロジェクト管理。時間記録も含む。
Focalboard|focalboard|Trello|mattermost/focalboard|https://www.focalboard.com|project|カンバンと表形式でタスクを管理する。Mattermostと統合できる。
Trac|trac|Jira|edgewall/trac|https://trac.edgewall.org|project|課題管理とWikiを組み合わせた老舗。シンプルで長期運用に向く。
