# 形式: name|id|competitor|owner/repo|official_url|category|description_ja
# 開発・デプロイ・インフラ
Typesense|typesense|Algolia|typesense/typesense|https://typesense.org|devtools|高速な全文検索。ベクトル検索も組み合わせられる。
OpenSearch|opensearch|Elasticsearch|opensearch-project/OpenSearch|https://opensearch.org|devtools|Apacheライセンスの検索基盤。Elasticsearchから分岐した。
Elasticsearch|elasticsearch|OpenSearch|elastic/elasticsearch|https://www.elastic.co|devtools|全文検索の定番。ログ検索にも使われる。
Portainer|portainer|Docker Desktop|portainer/portainer|https://www.portainer.io|devtools|DockerとKubernetesを画面で操作する。現場での運用が楽になる。
Rancher Desktop|rancher-desktop|Docker Desktop|rancher-sandbox/rancher-desktop|https://rancherdesktop.io|devtools|ローカルでKubernetesとコンテナを動かす。商用条件の制約が少ない。
Podman|podman|Docker Desktop|containers/podman|https://podman.io|devtools|デーモン不要のコンテナ実行。rootlessで動かせる。
k3s|k3s|Kubernetes|k3s-io/k3s|https://k3s.io|devtools|軽量なKubernetes。小さなサーバでもクラスタを組める。
Headlamp|headlamp|Lens|kubernetes-sigs/headlamp|https://headlamp.dev|devtools|Kubernetesの管理画面。プラグインで拡張できる。
OpenTofu|opentofu|Terraform|opentofu/opentofu|https://opentofu.org|devtools|Terraformから分岐したIaC。ライセンス変更を受けずに使える。
Terraform|terraform|OpenTofu|hashicorp/terraform|https://www.terraform.io|devtools|インフラをコードで管理する標準的な道具。
Pulumi|pulumi|Terraform|pulumi/pulumi|https://www.pulumi.com|devtools|一般的なプログラミング言語でインフラを書く。
Ansible|ansible|Chef|ansible/ansible|https://www.ansible.com|devtools|エージェント不要の構成管理。順序を書いて実行する。
pgAdmin|pgadmin|DBeaver|pgadmin-org/pgadmin4|https://www.pgadmin.org|devtools|PostgreSQLの管理画面。クエリと監視を1つで行う。
DBeaver|dbeaver|DataGrip|dbeaver/dbeaver|https://dbeaver.io|devtools|各種データベースに接続するGUIクライアント。無償版がある。
Adminer|adminer|phpMyAdmin|vrana/adminer|https://www.adminer.org|devtools|1ファイルで動くDB管理画面。MySQLとPostgreSQLに対応。
phpMyAdmin|phpmyadmin|Adminer|phpmyadmin/phpmyadmin|https://www.phpmyadmin.net|devtools|MySQLの管理画面として最も広く使われている。
Strapi|strapi|Contentful|strapi/strapi|https://strapi.io|devtools|ヘッドレスCMS。管理画面を自動生成できる。
code-server|coder|GitHub Codespaces|coder/code-server|https://coder.com|devtools|VS Codeをブラウザで使う。サーバ上の資源で開発できる。
OpenVSCode Server|openvscode|GitHub Codespaces|gitpod-io/openvscode-server|https://www.gitpod.io|devtools|VS Code互換のブラウザ開発環境。軽量に動く。
DevPod|devpod|GitHub Codespaces|loft-sh/devpod|https://devpod.sh|devtools|開発環境の定義を持ち運ぶ。どのクラウドでも同じ環境を再現する。
Docusaurus|docusaurus|GitBook|facebook/docusaurus|https://docusaurus.io|note-docs|Markdownからドキュメントサイトを作る。バージョン管理ができる。
MkDocs|mkdocs|GitBook|mkdocs/mkdocs|https://www.mkdocs.org|note-docs|設定ファイルとMarkdownから文書サイトを作る。動作が軽い。
VitePress|vitepress|GitBook|vuejs/vitepress|https://vitepress.dev|note-docs|Markdownから高速な文書サイトを作る。検索を内蔵する。
# 業務自動化・ワークフロー
Windmill|windmill|Zapier|windmill-labs/windmill|https://www.windmill.dev|automation|スクリプトをそのままワークフローにする。開発者向けの自動化基盤。
Node-RED|node-red|Zapier|node-red/node-red|https://nodered.org|automation|線で繋いで処理を組む。IoTや機器連携に強い。
Huginn|huginn|IFTTT|huginn/huginn|https://github.com/huginn/huginn|automation|Web上の出来事を監視して動作するエージェントを組む。
Kestra|kestra|Zapier|kestra-io/kestra|https://kestra.io|automation|宣言的にワークフローを書く。実行履歴が追いやすい。
Temporal|temporal|Zapier|temporalio/temporal|https://temporal.io|automation|長時間動く処理を確実に実行する基盤。失敗時の再開ができる。
Apache Airflow|airflow|Zapier|apache/airflow|https://airflow.apache.org|automation|定期実行するデータ処理を組む。依存関係を可視化できる。
Dagster|dagster|Zapier|dagster-io/dagster|https://dagster.io|automation|データの流れを資産として管理する。テストしやすい。
Prefect|prefect|Zapier|PrefectHQ/prefect|https://www.prefect.io|automation|Pythonの処理をそのままワークフローにする。
Robot Framework|robotframework|UiPath|robotframework/robotframework|https://robotframework.org|automation|キーワードで自動テストを書く。日本語のキーワードも使える。
Playwright|playwright|UiPath|microsoft/playwright|https://playwright.dev|automation|ブラウザ操作を自動化する。テストと定型作業の両方に使える。
